zip,city,price,beds,sq__ft

95818.0,SACRAMENTO,220000.0,2.0,1032.0

95603.0,AUBURN,285000.0,2.0,960.0

95822.0,SACRAMENTO,108000.0,2.0,810.0

95815.0,SACRAMENTO,96140.0,2.0,832.0

95842.0,SACRAMENTO,97500.0,2.0,964.0

95670.0,RANCHO CORDOVA,115000.0,2.0,911.0

95673.0,RIO LINDA,132000.0,2.0,970.0

95758.0,ELK GROVE,213697.0,2.0,1112.0

95648.0,LINCOLN,330000.0,2.0,0.0

95828.0,SACRAMENTO,145000.0,2.0,1132.0

95678.0,ROSEVILLE,127000.0,2.0,780.0

95843.0,ANTELOPE,161250.0,2.0,1043.0

95835.0,SACRAMENTO,152000.0,2.0,1304.0

95818.0,SACRAMENTO,292024.0,2.0,1126.0

95842.0,SACRAMENTO,108750.0,2.0,1022.0

95662.0,ORANGEVALE,334150.0,2.0,1690.0

95682.0,CAMERON PARK,215000.0,2.0,0.0

95820.0,SACRAMENTO,68000.0,2.0,834.0

95673.0,RIO LINDA,136500.0,2.0,1690.0

95818.0,SACRAMENTO,413500.0,2.0,1304.0

95815.0,SACRAMENTO,78000.0,2.0,800.0

95823.0,SACRAMENTO,173056.0,2.0,904.0

95842.0,SACRAMENTO,150454.0,2.0,924.0

95843.0,ANTELOPE,115000.0,2.0,836.0

95831.0,SACRAMENTO,234500.0,2.0,1324.0

95621.0,CITRUS HEIGHTS,101000.0,2.0,888.0

95747.0,ROSEVILLE,170000.0,2.0,0.0

95757.0,ELK GROVE,298000.0,3.0,1843.0

95660.0,NORTH HIGHLANDS,112500.0,3.0,1331.0

95660.0,NORTH HIGHLANDS,119250.0,3.0,1207.0

95621.0,CITRUS HEIGHTS,161653.0,3.0,1156.0

95621.0,CITRUS HEIGHTS,250000.0,3.0,1305.0

95673.0,RIO LINDA,121630.0,3.0,1356.0

95820.0,SACRAMENTO,228327.0,3.0,1212.0

95822.0,SACRAMENTO,90000.0,3.0,1012.0

95828.0,SACRAMENTO,170725.0,3.0,1638.0

95747.0,ROSEVILLE,191500.0,3.0,1154.0

95660.0,NORTH HIGHLANDS,208318.0,3.0,1310.0

95824.0,SACRAMENTO,222381.0,3.0,1360.0

95661.0,ROSEVILLE,470000.0,3.0,2274.0

95823.0,SACRAMENTO,231477.0,3.0,1478.0

95758.0,ELK GROVE,194000.0,3.0,1586.0

95823.0,SACRAMENTO,198000.0,3.0,1266.0

95833.0,SACRAMENTO,140000.0,3.0,1080.0

95757.0,ELK GROVE,270000.0,3.0,1457.0

95823.0,SACRAMENTO,134000.0,3.0,1144.0

95833.0,SACRAMENTO,225000.0,3.0,1522.0

95827.0,SACRAMENTO,150000.0,3.0,1092.0

95829.0,SACRAMENTO,257729.0,3.0,2170.0

95823.0,SACRAMENTO,181000.0,3.0,1593.0

95670.0,RANCHO CORDOVA,116000.0,3.0,1115.0

95608.0,CARMICHAEL,201000.0,3.0,972.0

95726.0,POLLOCK PINES,265000.0,3.0,1380.0

95827.0,SACRAMENTO,115500.0,3.0,1320.0

95864.0,SACRAMENTO,315000.0,3.0,1360.0

95758.0,ELK GROVE,250000.0,3.0,1636.0

95608.0,CARMICHAEL,181872.0,3.0,1152.0

95628.0,FAIR OAKS,189000.0,3.0,1529.0

95632.0,GALT,174000.0,3.0,1204.0

95832.0,SACRAMENTO,114800.0,3.0,1161.0

95838.0,SACRAMENTO,192000.0,3.0,1353.0

95630.0,FOLSOM,310000.0,3.0,1327.0

95608.0,CARMICHAEL,386222.0,3.0,1655.0

95820.0,SACRAMENTO,168000.0,3.0,1039.0

95757.0,ELK GROVE,220000.0,3.0,1261.0

95815.0,SACRAMENTO,135500.0,3.0,1264.0

95757.0,ELK GROVE,242638.0,3.0,2163.0

95621.0,CITRUS HEIGHTS,30000.0,3.0,1166.0

95661.0,ROSEVILLE,395500.0,3.0,2049.0

95822.0,SACRAMENTO,107502.0,3.0,1020.0

95835.0,SACRAMENTO,362305.0,3.0,1800.0

95626.0,ELVERTA,126000.0,3.0,1080.0

95757.0,ELK GROVE,266510.0,3.0,1540.0

95632.0,GALT,162000.0,3.0,1140.0

95632.0,GALT,140000.0,3.0,1266.0

95828.0,SACRAMENTO,244000.0,3.0,1269.0

95835.0,SACRAMENTO,238000.0,3.0,1678.0

95661.0,ROSEVILLE,188325.0,3.0,1152.0

95630.0,FOLSOM,500000.0,3.0,1905.0

95828.0,SACRAMENTO,130000.0,3.0,1120.0

95841.0,SACRAMENTO,460000.0,3.0,2068.0

95648.0,LINCOLN,276500.0,3.0,1650.0

95820.0,SACRAMENTO,111000.0,3.0,1039.0

95822.0,SACRAMENTO,122000.0,3.0,1169.0

95829.0,SACRAMENTO,243450.0,3.0,1789.0

95614.0,COOL,300000.0,3.0,1457.0

95822.0,SACRAMENTO,320000.0,3.0,1276.0

95843.0,ANTELOPE,254172.0,3.0,1830.0

95823.0,SACRAMENTO,168000.0,3.0,1477.0

95678.0,ROSEVILLE,182587.0,3.0,1770.0

95608.0,CARMICHAEL,266000.0,3.0,1713.0

95608.0,CARMICHAEL,139500.0,3.0,1245.0

95623.0,EL DORADO,289000.0,3.0,1624.0

95828.0,SACRAMENTO,145000.0,3.0,1188.0

95747.0,ROSEVILLE,208250.0,3.0,1371.0

95624.0,ELK GROVE,225000.0,3.0,1465.0

95667.0,PLACERVILLE,300000.0,3.0,1329.0

95828.0,SACRAMENTO,149600.0,3.0,1407.0

95678.0,ROSEVILLE,250000.0,3.0,1498.0

95678.0,ROSEVILLE,215100.0,3.0,998.0

95815.0,SACRAMENTO,121725.0,3.0,696.0

95757.0,ELK GROVE,335750.0,3.0,2725.0

95826.0,SACRAMENTO,156142.0,3.0,1428.0

95660.0,NORTH HIGHLANDS,147308.0,3.0,1082.0

95838.0,SACRAMENTO,190000.0,3.0,1082.0

95826.0,SACRAMENTO,168750.0,3.0,1029.0

95660.0,NORTH HIGHLANDS,129000.0,3.0,957.0

95758.0,ELK GROVE,180400.0,3.0,1716.0

95608.0,CARMICHAEL,205900.0,3.0,1296.0

95823.0,SACRAMENTO,160000.0,3.0,1488.0

95826.0,SACRAMENTO,228000.0,4.0,1605.0

95820.0,SACRAMENTO,114000.0,4.0,1448.0

95831.0,SACRAMENTO,311518.0,4.0,2169.0

95842.0,SACRAMENTO,205000.0,4.0,1968.0

95815.0,SACRAMENTO,100000.0,4.0,1404.0

95621.0,CITRUS HEIGHTS,158000.0,4.0,1351.0

95828.0,SACRAMENTO,173000.0,4.0,1590.0

95825.0,SACRAMENTO,220000.0,4.0,1566.0

95828.0,SACRAMENTO,247234.0,4.0,1176.0

95822.0,SACRAMENTO,131750.0,4.0,1309.0

95828.0,SACRAMENTO,245000.0,4.0,2491.0

95758.0,ELK GROVE,250000.0,4.0,1591.0

95670.0,RANCHO CORDOVA,336000.0,4.0,2208.0

95827.0,SACRAMENTO,331200.0,4.0,2484.0

95621.0,CITRUS HEIGHTS,167293.0,4.0,1280.0

95650.0,LOOMIS,839000.0,4.0,1624.0

95747.0,ROSEVILLE,614000.0,4.0,0.0

95624.0,ELK GROVE,400186.0,4.0,2359.0

95670.0,RANCHO CORDOVA,305000.0,4.0,1851.0

95762.0,EL DORADO HILLS,400000.0,4.0,2199.0

95817.0,SACRAMENTO,70000.0,4.0,1099.0

95835.0,SACRAMENTO,360552.0,4.0,1871.0

95828.0,SACRAMENTO,165000.0,4.0,1549.0

95833.0,SACRAMENTO,215000.0,4.0,1856.0

95835.0,SACRAMENTO,341000.0,4.0,2372.0

95825.0,SACRAMENTO,225000.0,4.0,1751.0

95815.0,SACRAMENTO,89000.0,4.0,1316.0

95842.0,SACRAMENTO,179580.0,4.0,1943.0

95843.0,ANTELOPE,408431.0,4.0,2085.0

95828.0,SACRAMENTO,213675.0,4.0,1872.0

95828.0,SACRAMENTO,195000.0,4.0,2162.0

95621.0,CITRUS HEIGHTS,167293.0,4.0,1280.0

95834.0,SACRAMENTO,332000.0,4.0,2258.0

95747.0,ROSEVILLE,367463.0,4.0,2577.0

95828.0,SACRAMENTO,149593.0,4.0,1146.0

95667.0,PLACERVILLE,350000.0,4.0,2295.0

95826.0,SACRAMENTO,186785.0,4.0,1139.0

95746.0,GRANITE BAY,600000.0,4.0,2356.0

95843.0,ANTELOPE,231200.0,4.0,2026.0

95833.0,SACRAMENTO,170000.0,4.0,1917.0

95624.0,ELK GROVE,294173.0,4.0,1721.0

95834.0,SACRAMENTO,292000.0,4.0,2169.0

95832.0,SACRAMENTO,207000.0,4.0,1800.0

95648.0,LINCOLN,267750.0,4.0,0.0

95835.0,SACRAMENTO,261000.0,4.0,2175.0

95835.0,SACRAMENTO,270000.0,4.0,2030.0

95823.0,SACRAMENTO,122682.0,4.0,1329.0

95762.0,EL DORADO HILLS,262500.0,4.0,1808.0

95757.0,ELK GROVE,274425.0,4.0,2724.0

95823.0,SACRAMENTO,319789.0,4.0,2205.0

95758.0,ELK GROVE,285000.0,4.0,2056.0

95828.0,SACRAMENTO,158000.0,4.0,1358.0

